algorithm_key,algorithm,text_length,pattern_length,k,mean_runtime_sec,median_runtime_sec,mean_matches,all_source_found
kmp,KMP-based Filtering + Verification,8000,12,1,0.0013272870000946568,0.0013272870000946568,1.5,True
kmp,KMP-based Filtering + Verification,8000,12,2,0.00221795350080356,0.00221795350080356,1.0,True
kmp,KMP-based Filtering + Verification,8000,24,0,0.0006925585003045853,0.0006925585003045853,1.0,True
kmp,KMP-based Filtering + Verification,8000,24,1,0.0013716024996028864,0.0013716024996028864,1.0,True
kmp,KMP-based Filtering + Verification,8000,24,2,0.0020449890007512295,0.0020449890007512295,1.0,True
kmp,KMP-based Filtering + Verification,8000,48,0,0.0006827804991189623,0.0006827804991189623,1.0,True
kmp,KMP-based Filtering + Verification,8000,48,1,0.0014457400002356735,0.0014457400002356735,1.0,True
kmp,KMP-based Filtering + Verification,8000,48,2,0.0020817954991798615,0.0020817954991798615,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,12,0,0.0009814615004870575,0.0009814615004870575,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,12,1,0.0011881954997079447,0.0011881954997079447,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,12,2,0.0012264344995855936,0.0012264344995855936,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,24,0,0.0007497939996028435,0.0007497939996028435,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,24,1,0.001067542500095442,0.001067542500095442,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,24,2,0.0013004680004087277,0.0013004680004087277,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,48,0,0.0008548380001229816,0.0008548380001229816,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,48,1,0.001188545000331942,0.001188545000331942,1.0,True
rabin_karp,Rabin-Karp with Verification,1000,48,2,0.0012680254994847928,0.0012680254994847928,1.0,True
rabin_karp,Rabin-Karp with Verification,2000,12,0,0.0013117469989083475,0.0013117469989083475,1.0,True
rabin_karp,Rabin-Karp with Verification,2000,12,1,0.0018983895006385865,0.0018983895006385865,1.0,True
rabin_karp,Rabin-Karp with Verification,2000,12,2,0.00207826899986685,0.00207826899986685,1.0,True
rabin_karp,Rabin-Karp with Verification,2000,24,0,0.0021115484996698797,0.0021115484996698797,1.0,True
rabin_karp,Rabin-Karp with Verification,2000,24,1,0.002029169500019634,0.002029169500019634,1.0,True
