genome,text_length,pattern_length,k,source_start,source_found,algorithm_key,algorithm,runtime_sec,num_matches,matches_preview
GCF_000005845.2,4000,12,0,1333,True,kmp,KMP-based Filtering + Verification,0.0003714929989655502,1,[1333]
GCF_000005845.2,4000,12,0,1333,True,boyer_moore,Boyer-Moore with Verification,0.0003343360003782436,1,[1333]
GCF_000005845.2,4000,12,0,1333,True,suffix_array,Suffix Array with Candidate Verification,0.010539234999669134,1,[1333]
GCF_000005845.2,4000,12,0,1333,True,suffix_tree,Suffix Tree with Backtracking,0.021388918999946327,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,brute_force,Brute Force with k mismatches,0.0012250370000401745,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,rabin_karp,Rabin-Karp with Verification,0.003685030998894945,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,kmp,KMP-based Filtering + Verification,0.0007870549998187926,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,boyer_moore,Boyer-Moore with Verification,0.0007830039994587423,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,suffix_array,Suffix Array with Candidate Verification,0.004292870000426774,1,[1333]
GCF_000005845.2,4000,12,1,1333,True,suffix_tree,Suffix Tree with Backtracking,0.01822030400035146,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,brute_force,Brute Force with k mismatches,0.0015150239996728487,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,rabin_karp,Rabin-Karp with Verification,0.003934088999812957,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,kmp,KMP-based Filtering + Verification,0.0014035549993423047,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,boyer_moore,Boyer-Moore with Verification,0.001752558000589488,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,suffix_array,Suffix Array with Candidate Verification,0.00593661300081294,1,[1333]
GCF_000005845.2,4000,12,2,1333,True,suffix_tree,Suffix Tree with Backtracking,0.018826607998562395,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,brute_force,Brute Force with k mismatches,0.0008184839989553438,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,rabin_karp,Rabin-Karp with Verification,0.0034438639995642006,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,kmp,KMP-based Filtering + Verification,0.00038567099909414537,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,boyer_moore,Boyer-Moore with Verification,0.0005656539997289656,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,suffix_array,Suffix Array with Candidate Verification,0.004083832000105758,1,[1333]
GCF_000005845.2,4000,24,0,1333,True,suffix_tree,Suffix Tree with Backtracking,0.11569355999927211,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,brute_force,Brute Force with k mismatches,0.0013102459997753613,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,rabin_karp,Rabin-Karp with Verification,0.0038981199995760107,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,kmp,KMP-based Filtering + Verification,0.0007209839986899169,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,boyer_moore,Boyer-Moore with Verification,0.0007274100007634843,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,suffix_array,Suffix Array with Candidate Verification,0.004153395000685123,1,[1333]
GCF_000005845.2,4000,24,1,1333,True,suffix_tree,Suffix Tree with Backtracking,0.01312061399949016,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,brute_force,Brute Force with k mismatches,0.0013398589999269461,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,rabin_karp,Rabin-Karp with Verification,0.004296502000215696,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,kmp,KMP-based Filtering + Verification,0.000944340999922133,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,boyer_moore,Boyer-Moore with Verification,0.0014835940000921255,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,suffix_array,Suffix Array with Candidate Verification,0.004269543000191334,1,[1333]
GCF_000005845.2,4000,24,2,1333,True,suffix_tree,Suffix Tree with Backtracking,0.01700162300039665,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,brute_force,Brute Force with k mismatches,0.0007003800001257332,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,rabin_karp,Rabin-Karp with Verification,0.003560990000551101,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,kmp,KMP-based Filtering + Verification,0.0003862289995595347,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,boyer_moore,Boyer-Moore with Verification,0.0011208320011064643,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,suffix_array,Suffix Array with Candidate Verification,0.005996747999233776,1,[1333]
GCF_000005845.2,4000,48,0,1333,True,suffix_tree,Suffix Tree with Backtracking,0.021835911000380293,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,brute_force,Brute Force with k mismatches,0.0013087089992041001,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,rabin_karp,Rabin-Karp with Verification,0.007349247998718056,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,kmp,KMP-based Filtering + Verification,0.0013551539996115025,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,boyer_moore,Boyer-Moore with Verification,0.0024155730006896192,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,suffix_array,Suffix Array with Candidate Verification,0.009497813000052702,1,[1333]
GCF_000005845.2,4000,48,1,1333,True,suffix_tree,Suffix Tree with Backtracking,0.02225398900009168,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,brute_force,Brute Force with k mismatches,0.0015402370008814614,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,rabin_karp,Rabin-Karp with Verification,0.005571057999986806,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,kmp,KMP-based Filtering + Verification,0.001053643998602638,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,boyer_moore,Boyer-Moore with Verification,0.0011519130002852762,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,suffix_array,Suffix Array with Candidate Verification,0.00433058499947947,1,[1333]
GCF_000005845.2,4000,48,2,1333,True,suffix_tree,Suffix Tree with Backtracking,0.013542323000365286,1,[1333]
GCF_000005845.2,8000,12,0,2666,True,brute_force,Brute Force with k mismatches,0.0013146450000931509,1,[2666]
GCF_000005845.2,8000,12,0,2666,True,rabin_karp,Rabin-Karp with Verification,0.003987587999290554,1,[2666]
GCF_000005845.2,8000,12,0,2666,True,kmp,KMP-based Filtering + Verification,0.0006108420002419734,1,[2666]
GCF_000005845.2,8000,12,0,2666,True,boyer_moore,Boyer-Moore with Verification,0.000677263000397943,1,[2666]
GCF_000005845.2,8000,12,0,2666,True,suffix_array,Suffix Array with Candidate Verification,0.01893081200068991,1,[2666]
GCF_000005845.2,8000,12,0,2666,True,suffix_tree,Suffix Tree with Backtracking,0.12145172399868898,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,brute_force,Brute Force with k mismatches,0.002683069998965948,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,rabin_karp,Rabin-Karp with Verification,0.006634409000980668,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,kmp,KMP-based Filtering + Verification,0.0012617050015251152,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,boyer_moore,Boyer-Moore with Verification,0.0015259890005836496,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,suffix_array,Suffix Array with Candidate Verification,0.011585685000682133,1,[2666]
GCF_000005845.2,8000,12,1,2666,True,suffix_tree,Suffix Tree with Backtracking,0.028491483999459888,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,brute_force,Brute Force with k mismatches,0.0029185789990151534,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,rabin_karp,Rabin-Karp with Verification,0.007293582999409409,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,kmp,KMP-based Filtering + Verification,0.0021388570003182394,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,boyer_moore,Boyer-Moore with Verification,0.003135648999887053,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,suffix_array,Suffix Array with Candidate Verification,0.011128566000479623,1,[2666]
GCF_000005845.2,8000,12,2,2666,True,suffix_tree,Suffix Tree with Backtracking,0.025810787999944296,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,brute_force,Brute Force with k mismatches,0.0012773489997925935,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,rabin_karp,Rabin-Karp with Verification,0.005309218000547844,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,kmp,KMP-based Filtering + Verification,0.0006792180010961602,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,boyer_moore,Boyer-Moore with Verification,0.000592194999626372,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,suffix_array,Suffix Array with Candidate Verification,0.009057176999704097,1,[2666]
GCF_000005845.2,8000,24,0,2666,True,suffix_tree,Suffix Tree with Backtracking,0.02755091399922094,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,brute_force,Brute Force with k mismatches,0.0020190770010231063,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,rabin_karp,Rabin-Karp with Verification,0.007868946000598953,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,kmp,KMP-based Filtering + Verification,0.0013285450004332233,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,boyer_moore,Boyer-Moore with Verification,0.0013436999997793464,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,suffix_array,Suffix Array with Candidate Verification,0.010646582000845228,1,[2666]
GCF_000005845.2,8000,24,1,2666,True,suffix_tree,Suffix Tree with Backtracking,0.1672395650002727,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,brute_force,Brute Force with k mismatches,0.0029842310013918905,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,rabin_karp,Rabin-Karp with Verification,0.00974023700109683,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,kmp,KMP-based Filtering + Verification,0.0019832480011245934,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,boyer_moore,Boyer-Moore with Verification,0.0031218910007737577,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,suffix_array,Suffix Array with Candidate Verification,0.012830347999624792,1,[2666]
GCF_000005845.2,8000,24,2,2666,True,suffix_tree,Suffix Tree with Backtracking,0.025342076000015368,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,brute_force,Brute Force with k mismatches,0.0012661050004680874,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,rabin_karp,Rabin-Karp with Verification,0.006113174998972681,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,kmp,KMP-based Filtering + Verification,0.0006560999991052086,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,boyer_moore,Boyer-Moore with Verification,0.0009366579997731606,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,suffix_array,Suffix Array with Candidate Verification,0.007893181998952059,1,[2666]
GCF_000005845.2,8000,48,0,2666,True,suffix_tree,Suffix Tree with Backtracking,0.024754279998887796,1,[2666]
GCF_000005845.2,8000,48,1,2666,True,brute_force,Brute Force with k mismatches,0.002168819999496918,1,[2666]
GCF_000005845.2,8000,48,1,2666,True,rabin_karp,Rabin-Karp with Verification,0.0091132599991397,1,[2666]
GCF_000005845.2,8000,48,1,2666,True,kmp,KMP-based Filtering + Verification,0.001422412000465556,1,[2666]
GCF_000005845.2,8000,48,1,2666,True,boyer_moore,Boyer-Moore with Verification,0.0015050359997985652,1,[2666]
GCF_000005845.2,8000,48,1,2666,True,suffix_array,Suffix Array with Candidate Verification,0.010362184000769048,1,[2666]
